,Origin,Percent,ID,Name,Lat,Long,ICAO
37,BMI,0.05795712287467329,4037,Central Illinois Regional Airport at Bloomington-Normal,40.47710037,-88.91590118,KBMI
38,BNA,1.0192651705555524,3690,Nashville International Airport,36.1245002746582,-86.6781997680664,KBNA
39,BOI,0.23350033158161645,3495,Boise Air Terminal/Gowen field,43.56439972,-116.2229996,KBOI
40,BOS,2.0608215422167486,3448,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,KBOS
41,BPT,0.01003104049753961,3612,Southeast Texas Regional Airport,29.9507999420166,-94.02069854736328,KBPT
42,BQK,0.00891648044225743,5725,Brunswick Golden Isles Airport,31.2588005065918,-81.46649932861328,KBQK
43,BRD,0.012817440635745057,6957,Brainerd Lakes Regional Airport,46.39830017,-94.13809967,KBRD
44,BRO,0.028978561437336646,3738,Brownsville South Padre Island International Airport,25.90679931640625,-97.4259033203125,KBRO
45,BRW,0.006687360331693072,3571,Wiley Post Will Rogers Memorial Airport,71.285402,-156.766008,PABR
46,BTM,0.005015520248769805,4022,Bert Mooney Airport,45.95479965209961,-112.49700164794922,KBTM
47,BTR,0.0891648044225743,3846,"Baton Rouge Metropolitan, Ryan Field",30.53319931,-91.14959717,KBTR
48,BTV,0.14545008721432434,3711,Burlington International Airport,44.471900939899996,-73.15329742429998,KBTV
49,BUF,0.38508049909999276,3820,Buffalo Niagara International Airport,42.94049835,-78.73220062,KBUF
50,BUR,0.40291345998450767,3644,Bob Hope Airport,34.200698852539055,-118.35900115966795,KBUR
51,BWI,1.4996405543821714,3849,Baltimore/Washington International Thurgood Marshall Airport,39.17539978,-76.66829681,KBWI
52,BZN,0.08749296433965104,4020,Gallatin Field,45.77750015,-111.1529999,KBZN
53,CAE,0.07021728348277725,3561,Columbia Metropolitan Airport,33.93880081176758,-81.11949920654297,KCAE
54,CAK,0.1359763267444258,4112,Akron Canton Regional Airport,40.916099548339844,-81.44219970703125,KCAK
55,CDC,0.01003104049753961,3824,Cedar City Regional Airport,37.70100021362305,-113.0989990234375,KCDC
56,CDV,0.004458240221128715,3610,Merle K (Mudhole) Smith Airport,60.49179839999999,-145.4779968,PACV
57,CGI,0.013932000691027234,5728,Cape Girardeau Regional Airport,37.22529983520508,-89.57080078125,KCGI
58,CHA,0.1315180865232971,3578,Lovell Field,35.03530120849609,-85.20379638671875,KCHA
59,CHO,0.10588320525180697,4015,Charlottesville Albemarle Airport,38.13859939575195,-78.4529037475586,KCHO
60,CHS,0.18780336931504713,3806,Charleston Air Force Base-International Airport,32.89860153,-80.04049683,KCHS
61,CID,0.13987728693791343,4043,The Eastern Iowa Airport,41.88470077514648,-91.71080017089844,KCID
62,CIU,0.02674944132677229,5729,Chippewa County International Airport,46.25080108642578,-84.47239685058594,KCIU
63,CKB,0.01783296088451486,5730,North Central West Virginia Airport,39.2966003418,-80.2281036377,KCKB
64,CLE,0.7272504360716217,3486,Cleveland Hopkins International Airport,41.411701202399996,-81.8498001099,KCLE
65,CLL,0.019504800967438125,3715,Easterwood Field,30.58860016,-96.36380005,KCLL
66,CLT,3.8223837095902318,3876,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,KCLT
67,CMH,0.7222349158228518,3759,Port Columbus International Airport,39.99800109863281,-82.89189910888672,KCMH
68,CMI,0.04792608237713369,4049,University of Illinois Willard Airport,40.03919983,-88.27809906,KCMI
69,CMX,0.00891648044225743,5732,Houghton County Memorial Airport,47.16839981079102,-88.48909759521484,KCMX
70,COD,0.006687360331693072,4344,Yellowstone Regional Airport,44.520198822,-109.024002075,KCOD
71,COS,0.1521374475460174,3819,City of Colorado Springs Municipal Airport,38.805801391602,-104.70099639893,KCOS
72,COU,0.03900960193487625,3719,Columbia Regional Airport,38.81809997558594,-92.21959686279295,KCOU
73,CPR,0.0072446403593341615,3872,Casper-Natrona County International Airport,42.90800095,-106.4639969,KCPR
74,CRP,0.05405616268118567,3744,Corpus Christi International Airport,27.77039909362793,-97.5011978149414,KCRP
75,CRW,0.08080560400795796,4285,Yeager Airport,38.37310028076172,-81.59320068359375,KCRW
76,CSG,0.013374720663386144,4255,Columbus Metropolitan Airport,32.516300201416016,-84.93890380859375,KCSG
77,CVG,0.7261358760163394,3488,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,KCVG
78,CWA,0.029535841464977737,4045,Central Wisconsin Airport,44.7775993347,-89.6668014526,KCWA
79,DAB,0.046254242294210414,3950,Daytona Beach International Airport,29.179899,-81.058098,KDAB
80,DAL,1.1379658164431043,3502,Dallas Love Field,32.84709930419922,-96.85179901123048,KDAL
81,DAY,0.2452032121620793,3627,James M Cox Dayton International Airport,39.90240097045898,-84.21939849853516,KDAY
82,DBQ,0.023963041188566844,4388,Dubuque Regional Airport,42.40200043,-90.70950317,KDBQ
83,DCA,1.8802628132610355,3520,Ronald Reagan Washington National Airport,38.8521,-77.037697,KDCA
84,DEN,3.0187859097317813,3751,Denver International Airport,39.861698150635,-104.672996521,KDEN
85,DFW,4.438178140133635,3670,Dallas Fort Worth International Airport,32.896800994873054,-97.03800201416016,KDFW
86,DHN,0.03343680165846536,3739,Dothan Regional Airport,31.3213005065918,-85.44960021972656,KDHN
87,DLH,0.03399408168610645,3598,Duluth International Airport,46.8420982361,-92.19360351559999,KDLH
88,DRO,0.03622320179667081,3713,Durango La Plata County Airport,37.1515007019,-107.75399780299999,KDRO
89,DSM,0.25690609274254217,3729,Des Moines International Airport,41.53400039672852,-93.66310119628906,KDSM
90,DTW,2.2737025127756447,3645,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,KDTW
91,DVL,0.006130080304051984,7063,Devils Lake Regional Airport,48.11420059,-98.90879822,KDVL
92,EAU,0.011702880580462876,5735,Chippewa Valley Regional Airport,44.86579895019531,-91.48429870605469,KEAU
93,ECP,0.03733776185195299,7669,Northwest Florida Beaches International Airport,30.357106,-85.79541400000002,KECP
94,EGE,0.07077456351041835,4250,Eagle County Regional Airport,39.64260101,-106.9179993,KEGE
95,EKO,0.006687360331693072,5736,Elko Regional Airport,40.82490158081055,-115.79199981689452,KEKO
96,ELM,0.0055728002764108935,3946,Elmira Corning Regional Airport,42.1599006652832,-76.8916015625,KELM
97,ELP,0.22402657111171795,3559,El Paso International Airport,31.80719948,-106.37799840000002,KELP
98,ERI,0.01839024091215595,4276,Erie International Tom Ridge Field,42.0831270134,-80.1738667488,KERI
99,ESC,0.00891648044225743,6800,Delta County Airport,45.7226982117,-87.0936965942,KESC
100,EUG,0.060186242985237656,4099,Mahlon Sweet Field,44.12459945678711,-123.21199798583984,KEUG
101,EVV,0.0785764838973936,4018,Evansville Regional Airport,38.0369987488,-87.53240203860001,KEVV
102,EWN,0.03399408168610645,3730,Coastal Carolina Regional Airport,35.0730018616,-77.04290008539998,KEWN
103,EWR,2.0429885813322333,3494,Newark Liberty International Airport,40.69250106811523,-74.168701171875,KEWR
104,EYW,0.07300368362098271,3875,Key West International Airport,24.556100845336914,-81.75959777832031,KEYW
105,FAI,0.03566592176902972,3832,Fairbanks International Airport,64.81510162,-147.85600280000003,PAFA
106,FAR,0.10253952508596045,4292,Hector International Airport,46.92070007324219,-96.81580352783205,KFAR
107,FAT,0.14656464726960652,3687,Fresno Yosemite International Airport,36.77619934082031,-119.71800231933594,KFAT
108,FAY,0.05739984284703221,5738,Fayetteville Regional Grannis Field,34.991199493408196,-78.88030242919922,KFAY
109,FCA,0.025634881271490113,4127,Glacier Park International Airport,48.31050109863281,-114.25599670410156,KGPI
110,FLG,0.016161120801591593,4261,Flagstaff Pulliam Airport,35.13850021,-111.6709976,KFLG
111,FLL,1.5865762386941813,3533,Fort Lauderdale Hollywood International Airport,26.072599411010746,-80.15270233154297,KFLL
112,FNT,0.06408720317872528,4089,Bishop International Airport,42.96540069580078,-83.74359893798828,KFNT
113,FSD,0.10476864519652479,4009,Joe Foss Field Airport,43.5820007324,-96.741897583,KFSD
114,FSM,0.018947520939797038,3437,Fort Smith Regional Airport,35.33660125732422,-94.36740112304688,KFSM
115,FWA,0.14767920732488868,4041,Fort Wayne International Airport,40.97850037,-85.19509888,KFWA
116,GCC,0.00835920041461634,4296,Gillette Campbell County Airport,44.3488998413,-105.539001465,KGCC
117,GCK,0.00835920041461634,3497,Garden City Regional Airport,37.9275016785,-100.72399902299999,KGCK
118,GEG,0.12705984630216838,3467,Spokane International Airport,47.61989974975586,-117.53399658203124,KGEG
119,GFK,0.02006208099507922,3442,Grand Forks International Airport,47.949299,-97.176102,KGFK
120,GGG,0.00835920041461634,3465,East Texas Regional Airport,32.38399887084961,-94.71150207519531,KGGG
121,GJT,0.031207681547901007,4063,Grand Junction Regional Airport,39.1223983765,-108.527000427,KGJT
122,GNV,0.09027936447785648,3472,Gainesville Regional Airport,29.6900997162,-82.27179718020001,KGNV
123,GPT,0.050155202487698045,4038,Gulfport Biloxi International Airport,30.40730094909668,-89.07009887695312,KGPT
124,GRB,0.07188912356570054,3653,Austin Straubel International Airport,44.48509979248047,-88.12960052490234,KGRB
125,GRI,0.014489280718668323,5740,Central Nebraska Regional Airport,40.96749877929688,-98.30960083007812,KGRI
126,GRK,0.0417960020730817,3775,Robert Gray  Army Air Field Airport,31.067199706999997,-97.8289031982,KGRK
127,GRR,0.26972353337828725,3685,Gerald R. Ford International Airport,42.88079834,-85.52279663,KGRR
128,GSO,0.18055872895571295,4008,Piedmont Triad International Airport,36.097801208496094,-79.93730163574219,KGSO
129,GSP,0.13932000691027233,4034,Greenville Spartanburg International Airport,34.895698547399995,-82.2189025879,KGSP
130,GTF,0.012260160608103967,3880,Great Falls International Airport,47.48199844,-111.3710022,KGTF
131,GTR,0.018947520939797038,4273,Golden Triangle Regional Airport,33.450298309299995,-88.59140014649998,KGTR
132,GUC,0.0055728002764108935,7051,Gunnison Crested Butte Regional Airport,38.53390121,-106.9329987,KGUC
133,HDN,0.030650401520259912,4339,Yampa Valley Airport,40.48120117,-107.2180023,KHDN
134,HGR,0.003900960193487626,6739,Hagerstown Regional Richard A Henson Field,39.707901,-77.72949982,KHGR
135,HIB,0.012260160608103967,3650,Range Regional Airport,47.38660049,-92.83899689,KHIB
136,HLN,0.016161120801591593,3504,Helena Regional Airport,46.6068000793457,-111.98300170898438,KHLN
137,HNL,0.7461979570114187,3728,Honolulu International Airport,21.318700790405273,-157.9219970703125,PHNL
138,HOB,0.006130080304051984,3749,Lea County Regional Airport,32.6875,-103.2170029,KHOB
139,HOU,0.8320190812681464,3566,William P Hobby Airport,29.64539909,-95.27890015,KHOU
140,HPN,0.17108496848581442,3589,Westchester County Airport,41.06700134277344,-73.70760345458984,KHPN
141,HRL,0.047368802349492596,3560,Valley International Airport,26.228500366210927,-97.65440368652344,KHRL
142,HSV,0.11479968569406442,4113,Huntsville International Carl T Jones Field,34.637199401855,-86.775100708008,KHSV
143,HTS,0.00891648044225743,5742,Tri-State/Milton J. Ferguson Field,38.36669922,-82.55799866,KHTS
144,HVN,0.013932000691027234,4006,Tweed New Haven Airport,41.26369858,-72.88680267,KHVN
145,HYS,0.007801920386975252,7014,Hays Regional Airport,38.84220123,-99.27320099,KHYS
146,IAD,0.6809961937774113,3714,Washington Dulles International Airport,38.94449997,-77.45580292,KIAD
147,IAG,0.016161120801591593,3630,Niagara Falls International Airport,43.1072998046875,-78.94619750976562,KIAG
148,IAH,1.9811304982640727,3550,George Bush Intercontinental Houston Airport,29.98439979553223,-95.34140014648438,KIAH
149,ICT,0.14322096710375998,3457,Wichita Mid Continent Airport,37.649898529052734,-97.43309783935548,KICT
150,IDA,0.021733921078002486,4100,Idaho Falls Regional Airport,43.51459884643555,-112.0709991455078,KIDA
151,ILM,0.08136288403559905,3845,Wilmington International Airport,34.27059936523437,-77.90260314941406,KILM
152,IMT,0.010588320525180698,6837,Ford Airport,45.8184013367,-88.11450195309997,KIMT
153,IND,0.7707182782276266,3585,Indianapolis International Airport,39.7173,-86.294403,KIND
154,INL,0.006130080304051984,3535,Falls International Airport,48.566200256347656,-93.4030990600586,KINL
155,ISN,0.020619361022720308,3659,Sloulin Field International Airport,48.177898407,-103.64199829100001,KISN
156,ISP,0.11814336585991095,3857,Long Island Mac Arthur Airport,40.79520035,-73.10019684,KISP
157,ITH,0.028978561437336646,3947,Ithaca Tompkins Regional Airport,42.49100112915039,-76.4583969116211,KITH
158,ITO,0.0791337639250347,3415,Hilo International Airport,19.721399307250977,-155.04800415039062,PHTO
159,JAC,0.06575904326164855,4027,Jackson Hole Airport,43.6072998046875,-110.73799896240234,KJAC
160,JAN,0.10644048527944808,3580,Jackson-Medgar Wiley Evers International Airport,32.3111991882,-90.0758972168,KJAN
161,JAX,0.361674737939067,3712,Jacksonville International Airport,30.49410057067871,-81.68789672851562,KJAX
162,JFK,1.546452076704023,3797,John F Kennedy International Airport,40.63980103,-73.77890015,KJFK
163,JLN,0.012817440635745057,4354,Joplin Regional Airport,37.151798248291016,-94.49829864501952,KJLN
164,JMS,0.00835920041461634,5745,Jamestown Regional Airport,46.92969894,-98.67819977,KJMS
165,JNU,0.03566592176902972,3492,Juneau International Airport,58.35499954223633,-134.57600402832028,PAJN
166,KOA,0.19727712978494563,3514,Kona International At Keahole Airport,19.738800048828125,-156.04600524902344,PHKO
167,KTN,0.02842128140969556,3808,Ketchikan International Airport,55.35559845,-131.7140045,PAKT
168,LAN,0.056285282791750026,3544,Capital City Airport,42.77870178222656,-84.58740234375,KLAN
169,LAR,0.0072446403593341615,5746,Laramie Regional Airport,41.31209945678711,-105.6750030517578,KLAR
170,LAS,2.2731452327480035,3877,McCarran International Airport,36.08010101,-115.1520004,KLAS
171,LAW,0.015603840773950503,4256,Lawton Fort Sill Regional Airport,34.5676994324,-98.4166030884,KLAW
172,LAX,2.8036758190623208,3484,Los Angeles International Airport,33.94250107,-118.4079971,KLAX
173,LBB,0.07467552370390598,3829,Lubbock Preston Smith International Airport,33.66360092163086,-101.822998046875,KLBB
174,LBE,0.013374720663386144,5747,Arnold Palmer Regional Airport,40.27590179,-79.40480042,KLBE
175,LCH,0.01671840082923268,3513,Lake Charles Regional Airport,30.12610054016113,-93.22329711914062,KLCH
176,LCK,0.012817440635745057,3674,Rickenbacker International Airport,39.813801,-82.927803,KLCK
177,LEX,0.13653360677206688,4017,Blue Grass Airport,38.0364990234375,-84.60590362548828,KLEX
178,LFT,0.06631632328928963,3493,Lafayette Regional Airport,30.20529938,-91.98760223,KLFT
179,LGA,2.3104829945999565,3697,La Guardia Airport,40.77719879,-73.87259674,KLGA
180,LGB,0.2942438545944952,3582,Long Beach /Daugherty Field/ Airport,33.81769943,-118.1520004,KLGB
181,LIH,0.21956833089058922,3602,Lihue Airport,21.97599983215332,-159.33900451660156,PHLI
182,LIT,0.1671840082923268,3660,Bill & Hillary Clinton National Airport/Adams Field,34.729400634799994,-92.22429656979999,KLIT
183,LNK,0.030093121492618828,3543,Lincoln Airport,40.85100173950195,-96.75920104980469,KLNK
184,LRD,0.028978561437336646,3691,Laredo International Airport,27.543800354003906,-99.46160125732422,KLRD
185,LSE,0.03399408168610645,4044,La Crosse Municipal Airport,43.879002,-91.256699,KLSE
186,LWS,0.0011145600552821787,3945,Lewiston Nez Perce County Airport,46.3745002746582,-117.01499938964844,KLWS
187,LYH,0.012260160608103967,5753,Lynchburg Regional Preston Glenn Field,37.326698303222656,-79.20040130615234,KLYH
188,MAF,0.11981520594283421,3652,Midland International Airport,31.9424991607666,-102.2020034790039,KMAF
189,MBS,0.03566592176902972,4128,MBS International Airport,43.532901763916016,-84.07959747314453,KMBS
190,MCI,0.7244640359334161,3458,Kansas City International Airport,39.2976,-94.713898,KMCI
191,MCO,1.9376626561080676,3878,Orlando International Airport,28.429399490356445,-81.30899810791016,KMCO
192,MDT,0.0991958449201139,3542,Harrisburg International Airport,40.1935005188,-76.7633972168,KMDT
193,MDW,1.389856388936877,3747,Chicago Midway International Airport,41.7859992980957,-87.75240325927734,KMDW
194,MEI,0.025634881271490113,4335,Key Field,32.33259963989258,-88.75189971923828,KMEI
195,MEM,0.3265660961976784,3473,Memphis International Airport,35.04240036010742,-89.97669982910156,KMEM
196,MFE,0.061300803040519825,3826,Mc Allen Miller International Airport,26.17580032,-98.23860168,KMFE
197,MFR,0.07021728348277725,4101,Rogue Valley International Medford Airport,42.37419891357422,-122.8730010986328,KMFR
198,MGM,0.07467552370390598,4115,Montgomery Regional (Dannelly Field) Airport,32.30059814,-86.39399719,KMGM
199,MHK,0.02842128140969556,4050,Manhattan Regional Airport,39.14099884033203,-96.6707992553711,KMHK
200,MHT,0.12204432605339857,4011,Manchester Airport,42.93259811401367,-71.43569946289062,KMHT
201,MIA,1.1686162179633646,3576,Miami International Airport,25.79319953918457,-80.29060363769531,KMIA
202,MKE,0.5204995458167775,3717,General Mitchell International Airport,42.94720077514648,-87.89659881591797,KMKE
203,MKG,0.011702880580462876,5754,Muskegon County Airport,43.16949844,-86.23819733,KMKG
204,MLB,0.023963041188566844,3671,Melbourne International Airport,28.10280036926269,-80.64530181884766,KMLB
205,MLI,0.07634736378682924,4072,Quad City International Airport,41.44850158691406,-90.50749969482422,KMLI
206,MLU,0.04513968223892824,3732,Monroe Regional Airport,32.51089859008789,-92.0376968383789,KMLU
207,MMH,0.0072446403593341615,7081,Mammoth Yosemite Airport,37.62409973,-118.83799740000002,KMMH
208,MOB,0.099753124947755,3782,Mobile Regional Airport,30.691200256348,-88.242797851562,KMOB
209,MOT,0.020619361022720308,3498,Minot International Airport,48.2593994140625,-101.27999877929688,KMOT
210,MQT,0.02674944132677229,3675,Sawyer International Airport,46.3535995483,-87.39540100100002,KSAW
211,MRY,0.06352992315108419,3948,Monterey Peninsula Airport,36.58700180053711,-121.84300231933594,KMRY
212,MSN,0.14767920732488868,3459,Dane County Regional Truax Field,43.13990020751953,-89.3375015258789,KMSN
213,MSO,0.022848481133284665,4216,Missoula International Airport,46.91630173,-114.0910034,KMSO
214,MSP,1.908684094670731,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.8819999695,-93.22180175780001,KMSP
215,MSY,0.760129957702446,3861,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,KMSY
216,MTJ,0.041238722045440615,6880,Montrose Regional Airport,38.5097999573,-107.89399719200001,KMTJ
217,MYR,0.08972208445021539,3515,Myrtle Beach International Airport,33.6796989441,-78.9282989502,KMYR
218,OAJ,0.04012416199015844,4386,Albert J Ellis Airport,34.8292007446,-77.61209869380002,KOAJ
219,OAK,0.6704078732522305,3453,Metropolitan Oakland International Airport,37.72129821777344,-122.22100067138672,KOAK
220,OGD,0.0027864001382054467,9543,Ogden Hinckley Airport,41.195899963379,-112.0120010376,KOGD
221,OGG,0.41740274070317596,3456,Kahului Airport,20.89859962463379,-156.42999267578125,PHOG
222,OGS,0.003343680165846536,3724,Ogdensburg International Airport,44.681900024399994,-75.46549987790002,KOGS
223,OKC,0.27919729384818576,3863,Will Rogers World Airport,35.39310073852539,-97.60070037841795,KOKC
224,OMA,0.3287952163082427,3454,Eppley Airfield,41.303199768066406,-95.89409637451172,KOMA
225,OME,0.011702880580462876,3615,Nome Airport,64.51219940185547,-165.44500732421875,PAOM
226,ONT,0.3104049753960868,3734,Ontario International Airport,34.05599975585937,-117.60099792480469,KONT
227,ORD,5.717135803569936,3830,Chicago O'Hare International Airport,41.97859955,-87.90480042,KORD
228,ORF,0.29201473448393084,3611,Norfolk International Airport,36.89459991455078,-76.20120239257812,KORF
229,ORH,0.015603840773950503,6426,Worcester Regional Airport,42.26729965209961,-71.87570190429688,KORH
230,OTH,0.004458240221128715,5757,Southwest Oregon Regional Airport,43.41709899902344,-124.24600219726562,KOTH
231,OTZ,0.009473760469898519,3693,Ralph Wien Memorial Airport,66.88469696,-162.598999,PAOT
232,OWB,0.0011145600552821787,5758,Owensboro Daviess County Airport,37.74010086,-87.16680145,KOWB
233,PAH,0.012260160608103967,4117,Barkley Regional Airport,37.06079864501953,-88.7738037109375,KPAH
234,PBG,0.015046560746309414,3771,Plattsburgh International Airport,44.6509017944336,-73.46810150146484,KPBG
235,PBI,0.4296629013112799,3722,Palm Beach International Airport,26.68320083618164,-80.09559631347656,KPBI
236,PDX,0.604648829990582,3720,Portland International Airport,45.58869934,-122.5979996,KPDX
237,PGD,0.06910272342749507,7056,Charlotte County Airport,26.92020035,-81.99050140000001,KPGD
238,PHF,0.04458240221128715,3633,Newport News Williamsburg International Airport,37.13190079,-76.49299622,KPHF
239,PHL,1.6161120801591593,3752,Philadelphia International Airport,39.87189865112305,-75.24109649658203,KPHL
240,PHX,3.0594673517495807,3462,Phoenix Sky Harbor International Airport,33.43429946899414,-112.01200103759766,KPHX
241,PIA,0.0780192038697525,4046,General Wayne A. Downing Peoria International Airport,40.664199829100006,-89.6932983398,KPIA
242,PIB,0.011145600552821787,5759,Hattiesburg Laurel Regional Airport,31.467100143432607,-89.33709716796875,KPIB
243,PIE,0.0629726431234431,3617,St Petersburg Clearwater International Airport,27.91020012,-82.68740082,KPIE
244,PIH,0.01783296088451486,5760,Pocatello Regional Airport,42.9098014831543,-112.59600067138672,KPIH
245,PIT,0.6915845143025918,3570,Pittsburgh International Airport,40.49150085,-80.23290253,KPIT
246,PLN,0.012260160608103967,5762,Pellston Regional Airport of Emmet County Airport,45.57089996,-84.79669952,KPLN
247,PNS,0.08860752439493322,3564,Pensacola Regional Airport,30.473400115967003,-87.18659973144501,KPNS
248,PSC,0.04904064243241587,6133,Tri Cities Airport,46.26470184326172,-119.11900329589844,KPSC
249,PSG,0.0072446403593341615,4147,Petersburg James A Johnson Airport,56.80170059,-132.9450073,PAPG
250,PSM,0.003900960193487626,5763,Portsmouth International at Pease Airport,43.0778999329,-70.8233032227,KPSM
251,PSP,0.17610048873458425,3839,Palm Springs International Airport,33.829700469970696,-116.50700378417969,KPSP
252,PUB,0.0072446403593341615,3527,Pueblo Memorial Airport,38.289100646972656,-104.49700164794922,KPUB
253,PVD,0.27919729384818576,3641,Theodore Francis Green State Airport,41.73260116577149,-71.42040252685547,KPVD
254,PVU,0.005015520248769805,7579,Provo Municipal Airport,40.219200134277,-111.72299957275,KPVU
255,PWM,0.12817440635745056,3862,Portland International Jetport Airport,43.64619827,-70.30930328,KPWM
256,RAP,0.03510864174138863,4087,Rapid City Regional Airport,44.0452995300293,-103.05699920654295,KRAP
257,RDD,0.01839024091215595,4098,Redding Municipal Airport,40.50899887,-122.2929993,KRDD
258,RDM,0.05684256281939112,4103,Roberts Field,44.2541008,-121.1500015,KRDM
259,RDU,0.7556717174813172,3626,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211,KRDU
260,RFD,0.00891648044225743,4028,Chicago Rockford International Airport,42.19540023803711,-89.09719848632812,KRFD
261,RHI,0.010588320525180698,5765,Rhinelander Oneida County Airport,45.63119888305664,-89.46749877929688,KRHI
262,RIC,0.37504945860245315,3608,Richmond International Airport,37.50519943237305,-77.3197021484375,KRIC
263,RKS,0.003343680165846536,5766,Rock Springs Sweetwater County Airport,41.59420013,-109.0650024,KRKS
264,RNO,0.22068289094587137,3807,Reno Tahoe International Airport,39.49909973144531,-119.76799774169922,KRNO
265,ROA,0.04569696226656933,4016,Roanoke–Blacksburg Regional Airport,37.3255004883,-79.975402832,KROA
266,ROC,0.21120913047597287,3622,Greater Rochester International Airport,43.118900299072266,-77.67240142822266,KROC
267,ROW,0.01671840082923268,3736,Roswell International Air Center Airport,33.30160140991211,-104.53099822998048,KROW
268,RST,0.06185808306816092,4048,Rochester International Airport,43.90829849243164,-92.5,KRST
269,RSW,0.5026665849322626,3793,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,KRSW
270,SAF,0.00891648044225743,3784,Santa Fe Municipal Airport,35.617099761999995,-106.08899688700001,KSAF
271,SAN,1.3346856662004092,3731,San Diego International Airport,32.7336006165,-117.190002441,KSAN
272,SAT,0.47758898368841357,3621,San Antonio International Airport,29.533700942993164,-98.46980285644531,KSAT
